mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709548516,18446744073709549481,18446744073709550827,0,18446744073709551291,18446744073709551594,0,0
210323,42815,80048,0,5197,129,0,0
210323,42815,80048,0,5197,129,0,0
1297206,408006,463439,0,66335,5206,0,0
1297206,408006,463439,0,66335,5206,0,0
1595443,542769,617918,0,89871,5530,0,0
1595443,542769,617918,0,89871,5530,0,0
2150809,771067,785744,0,127754,7246,0,0
2150809,771067,785744,0,127754,7246,0,0
2646583,945868,1009535,0,156036,7568,0,0
2646583,945868,1009535,0,156036,7568,0,0
3053683,1096139,1147424,0,179993,8113,0,0
3053683,1096139,1147424,0,179993,8113,0,0
3553600,1281757,1310199,0,209814,8836,0,0
3553600,1281757,1310199,0,209814,8836,0,0
3997762,1424283,1451887,0,234377,8882,0,0
3997762,1424283,1451887,0,234377,8882,0,0
4575454,1629376,1612670,0,266974,10247,0,0
4575454,1629376,1612670,0,266974,10247,0,0
4955218,1798856,1771120,0,292889,10372,0,0
4955218,1798856,1771120,0,292889,10372,0,0
5358709,1931484,1913457,0,312386,11003,0,0
5358709,1931484,1913457,0,312386,11003,0,0
5702694,2058575,2073619,0,330296,11398,0,0
5702694,2058575,2073619,0,330296,11398,0,0
5939299,2152389,2176858,0,346193,11542,0,0
5939299,2152389,2176858,0,346193,11542,0,0
6234611,2267705,2281451,0,366214,11698,0,0
6234611,2267705,2281451,0,366214,11698,0,0
6637750,2390591,2403267,0,386391,11862,0,0
6637750,2390591,2403267,0,386391,11862,0,0
7011244,2608277,2545351,0,421417,16453,0,0
7011244,2608277,2545351,0,421417,16453,0,0
7379669,2827627,2775047,0,450634,19794,0,0
7379669,2827627,2775047,0,450634,19794,0,0
7651994,2922494,2902327,0,467765,19994,0,0
7651994,2922494,2902327,0,467765,19994,0,0
7800294,2962002,2975831,0,475604,19994,0,0
7800294,2962002,2975831,0,475604,19994,0,0
7965315,2999855,3072928,0,482235,19998,0,0
7965315,2999855,3072928,0,482235,19998,0,0
8443202,3207163,3260006,0,514092,21141,0,0
8443202,3207163,3260006,0,514092,21141,0,0
8800528,3331571,3405627,0,528626,22277,0,0
8800528,3331571,3405627,0,528626,22277,0,0
9065013,3415809,3516497,0,540128,22326,0,0
9065013,3415809,3516497,0,540128,22326,0,0
9286934,3498457,3615302,0,549930,22596,0,0
9286934,3498457,3615302,0,549930,22596,0,0
9664947,3618140,3770373,0,565708,23916,0,0
9664947,3618140,3770373,0,565708,23916,0,0
10042943,3730267,3926417,0,583543,24082,0,0
10042943,3730267,3926417,0,583543,24082,0,0
10454080,3826165,4068293,0,594564,26875,0,0
10454080,3826165,4068293,0,594564,26875,0,0
10688170,3894573,4175406,0,604699,27077,0,0
10688170,3894573,4175406,0,604699,27077,0,0
11073265,4042496,4317453,0,630198,27136,0,0
11073265,4042496,4317453,0,630198,27136,0,0
11546519,4235824,4456658,0,657295,28418,0,0
11546519,4235824,4456658,0,657295,28418,0,0
11992440,4413688,4617054,0,681803,32135,0,0
11992440,4413688,4617054,0,681803,32135,0,0
12477258,4648467,4786410,0,720330,33197,0,0
12477258,4648467,4786410,0,720330,33197,0,0
12822763,4766660,4956659,0,737258,33420,0,0
12822763,4766660,4956659,0,737258,33420,0,0
13040275,4848185,5023236,0,753300,33550,0,0
13040275,4848185,5023236,0,753300,33550,0,0
13395158,4949836,5130123,0,770464,33560,0,0
13395158,4949836,5130123,0,770464,33560,0,0
13724579,5058860,5244852,0,790630,33585,0,0
13724579,5058860,5244852,0,790630,33585,0,0
14073987,5157772,5432243,0,807768,33891,0,0
14073987,5157772,5432243,0,807768,33891,0,0
14371114,5257719,5560804,0,821351,34367,0,0
14371114,5257719,5560804,0,821351,34367,0,0
14608960,5346938,5707816,0,832307,37100,0,0
14608960,5346938,5707816,0,832307,37100,0,0
14884648,5412845,5866706,0,844042,37137,0,0
14884648,5412845,5866706,0,844042,37137,0,0
15193354,5504703,6023867,0,854965,37584,0,0
15193354,5504703,6023867,0,854965,37584,0,0
15444195,5591899,6210292,0,871139,38006,0,0
15444195,5591899,6210292,0,871139,38006,0,0
15648139,5675182,6347274,0,887840,38180,0,0
15648139,5675182,6347274,0,887840,38180,0,0
15906463,5736150,6516165,0,898492,38343,0,0
15906463,5736150,6516165,0,898492,38343,0,0
16161403,5833456,6604517,0,913454,38412,0,0
16161403,5833456,6604517,0,913454,38412,0,0
16504835,5901303,6731194,0,925490,38469,0,0
16504835,5901303,6731194,0,925490,38469,0,0
16870160,6059788,6854675,0,947716,39286,0,0
16870160,6059788,6854675,0,947716,39286,0,0
17156696,6143901,6973668,0,960994,39959,0,0
17156696,6143901,6973668,0,960994,39959,0,0
17431462,6237065,7065109,0,977989,40154,0,0
17431462,6237065,7065109,0,977989,40154,0,0
17702868,6319107,7191496,0,988573,40591,0,0
17702868,6319107,7191496,0,988573,40591,0,0
17979156,6391923,7271703,0,1002903,40642,0,0
17979156,6391923,7271703,0,1002903,40642,0,0
18456576,6581626,7429609,0,1037178,41474,0,0
18456576,6581626,7429609,0,1037178,41474,0,0
18895788,6747812,7593407,0,1064426,42242,0,0
18895788,6747812,7593407,0,1064426,42242,0,0
19619792,7024856,7832521,0,1105936,44782,0,0
19619792,7024856,7832521,0,1105936,44782,0,0
20075463,7148458,8072086,0,1127125,44916,0,0
20075463,7148458,8072086,0,1127125,44916,0,0
20561958,7237467,8308076,0,1142378,44974,0,0
20561958,7237467,8308076,0,1142378,44974,0,0
